2023-06-03 15:32:21.392 [info] Nível de log: Info
2023-06-03 15:32:21.392 [info] Validando o git encontrado em: git
2023-06-03 15:32:21.392 [info] Usando git ''2.30.2'' de ''git''
2023-06-03 15:32:21.392 [info] > git rev-parse --show-toplevel [21ms]
2023-06-03 15:32:21.392 [info] > git rev-parse --show-toplevel [5ms]
2023-06-03 15:32:21.392 [info] > git rev-parse --show-toplevel [7ms]
2023-06-03 15:32:24.197 [info] > git rev-parse --show-toplevel [11ms]
2023-06-03 15:32:26.031 [info] > git rev-parse --show-toplevel [10ms]
2023-06-03 15:32:26.291 [info] > git rev-parse --show-toplevel [2ms]
2023-06-03 15:32:27.332 [info] > git rev-parse --show-toplevel [19ms]
2023-06-03 15:32:36.625 [info] > git rev-parse --show-toplevel [4ms]
2023-06-03 15:38:52.804 [info] > git rev-parse --show-toplevel [28ms]
2023-06-03 15:38:54.270 [info] > git rev-parse --show-toplevel [12ms]
2023-06-03 16:17:49.147 [info] > git rev-parse --show-toplevel [17ms]
2023-06-03 16:17:49.163 [info] > git rev-parse --show-toplevel [5ms]
2023-06-03 16:17:50.789 [info] > git rev-parse --show-toplevel [13ms]
2023-06-03 16:17:50.813 [info] > git rev-parse --show-toplevel [10ms]
2023-06-03 16:17:50.838 [info] > git rev-parse --show-toplevel [7ms]
2023-06-03 16:17:53.142 [info] > git rev-parse --show-toplevel [14ms]
2023-06-03 16:17:53.168 [info] > git rev-parse --show-toplevel [9ms]
2023-06-03 16:17:53.196 [info] > git rev-parse --show-toplevel [9ms]
2023-06-03 16:17:53.212 [info] > git rev-parse --show-toplevel [5ms]
2023-06-03 16:17:54.229 [info] > git rev-parse --show-toplevel [16ms]
2023-06-03 16:17:54.249 [info] > git rev-parse --show-toplevel [7ms]
2023-06-03 16:17:54.268 [info] > git rev-parse --show-toplevel [5ms]
2023-06-03 16:17:54.299 [info] > git rev-parse --show-toplevel [8ms]
2023-06-03 16:17:54.317 [info] > git rev-parse --show-toplevel [5ms]
2023-06-03 16:17:55.278 [info] > git rev-parse --show-toplevel [17ms]
2023-06-03 16:17:55.311 [info] > git rev-parse --show-toplevel [10ms]
2023-06-03 16:17:55.359 [info] > git rev-parse --show-toplevel [16ms]
2023-06-03 16:17:55.392 [info] > git rev-parse --show-toplevel [13ms]
2023-06-03 16:17:55.417 [info] > git rev-parse --show-toplevel [7ms]
2023-06-03 16:17:55.447 [info] > git rev-parse --show-toplevel [6ms]
2023-06-03 16:18:02.222 [info] > git rev-parse --show-toplevel [6ms]
2023-06-03 16:18:02.236 [info] > git rev-parse --show-toplevel [4ms]
2023-06-03 16:18:02.255 [info] > git rev-parse --show-toplevel [5ms]
2023-06-03 16:18:02.270 [info] > git rev-parse --show-toplevel [5ms]
2023-06-03 16:18:02.285 [info] > git rev-parse --show-toplevel [4ms]
2023-06-03 16:18:47.502 [info] > git rev-parse --show-toplevel [11ms]
2023-06-03 16:18:47.522 [info] > git rev-parse --show-toplevel [4ms]
2023-06-03 16:18:47.540 [info] > git rev-parse --show-toplevel [5ms]
2023-06-03 16:18:47.558 [info] > git rev-parse --show-toplevel [5ms]
2023-06-03 16:18:47.586 [info] > git rev-parse --show-toplevel [10ms]
2023-06-03 16:18:47.608 [info] > git rev-parse --show-toplevel [7ms]
2023-06-03 16:18:47.642 [info] > git rev-parse --show-toplevel [6ms]
2023-06-03 16:18:47.668 [info] > git rev-parse --show-toplevel [10ms]
2023-06-03 16:18:47.686 [info] > git rev-parse --show-toplevel [5ms]
